pl_hostname,pl_name,ra,dec,st_dist,st_optmag
Kepler-384,Kepler-384 b,286.026112,44.782871,559,13.584
Kepler-384,Kepler-384 c,286.026112,44.782871,559,13.584
Kepler-385,Kepler-385 b,294.338483,50.336544,1550,15.212
Kepler-385,Kepler-385 c,294.338483,50.336544,1550,15.212
Kepler-386,Kepler-386 b,289.858871,48.693855,847,15.629
Kepler-386,Kepler-386 c,289.858871,48.693855,847,15.629
Kepler-387,Kepler-387 b,287.798184,45.656715,714,13.987
Kepler-387,Kepler-387 c,287.798184,45.656715,714,13.987
Kepler-388,Kepler-388 b,284.828038,44.60873,425,14.993
Kepler-388,Kepler-388 c,284.828038,44.60873,425,14.993
Kepler-389,Kepler-389 b,291.960005,44.900024,977,15.77
Kepler-389,Kepler-389 c,291.960005,44.900024,977,15.77
Kepler-39,Kepler-39 b,296.960265,46.034298,1200,14.46
Kepler-390,Kepler-390 b,291.628777,41.208603,435,13.942
Kepler-390,Kepler-390 c,291.628777,41.208603,435,13.942
Kepler-391,Kepler-391 b,290.621815,51.057304,1064,13.007
Kepler-391,Kepler-391 c,290.621815,51.057304,1064,13.007
Kepler-392,Kepler-392 b,288.660765,43.368084,673,13.455
Kepler-392,Kepler-392 c,288.660765,43.368084,673,13.455
Kepler-393,Kepler-393 b,290.995257,45.192215,789,13.223
Kepler-393,Kepler-393 c,290.995257,45.192215,789,13.223
Kepler-394,Kepler-394 b,296.301953,50.672318,1297,14.79
Kepler-394,Kepler-394 c,296.301953,50.672318,1297,14.79
Kepler-395,Kepler-395 b,293.511099,45.136598,360,15.987
Kepler-395,Kepler-395 c,293.511099,45.136598,360,15.987
Kepler-396,Kepler-396 b,296.132818,48.977402,233,11.921
Kepler-396,Kepler-396 c,296.132818,48.977402,233,11.921
Kepler-397,Kepler-397 b,295.894109,42.380451,969,15.996
Kepler-397,Kepler-397 c,295.894109,42.380451,969,15.996
Kepler-398,Kepler-398 b,291.468662,40.343853,185,13.256
Kepler-398,Kepler-398 c,291.468662,40.343853,185,13.256
Kepler-398,Kepler-398 d,291.468662,40.343853,185,13.256
Kepler-399,Kepler-399 b,299.501738,40.670806,699,14.467
Kepler-399,Kepler-399 c,299.501738,40.670806,699,14.467
Kepler-399,Kepler-399 d,299.501738,40.670806,699,14.467
Kepler-4,Kepler-4 b,285.615322,50.135754,550,12.7
Kepler-40,Kepler-40 b,296.81369,47.526608,2700,14.588
Kepler-400,Kepler-400 b,290.944481,40.480035,709,13.642
Kepler-400,Kepler-400 c,290.944481,40.480035,709,13.642
Kepler-401,Kepler-401 b,290.082749,50.863483,739,13.312
Kepler-401,Kepler-401 c,290.082749,50.863483,739,13.312
Kepler-401,Kepler-401 d,290.082749,50.863483,739,13.312
Kepler-402,Kepler-402 b,288.370225,43.35461,720,13.268
Kepler-402,Kepler-402 c,288.370225,43.35461,720,13.268
Kepler-402,Kepler-402 d,288.370225,43.35461,720,13.268
Kepler-402,Kepler-402 e,288.370225,43.35461,720,13.268
Kepler-403,Kepler-403 b,289.921461,46.74456,671,12.805
Kepler-403,Kepler-403 c,289.921461,46.74456,671,12.805
Kepler-403,Kepler-403 d,289.921461,46.74456,671,12.805
Kepler-404,Kepler-404 b,286.398631,45.343533,812.43,15.228
Kepler-404,Kepler-404 c,286.398631,45.343533,812.43,15.228
Kepler-405,Kepler-405 b,291.409458,38.34003,1226,15.855
Kepler-405,Kepler-405 c,291.409458,38.34003,1226,15.855
Kepler-406,Kepler-406 b,291.848044,44.968224,331,12.52
Kepler-406,Kepler-406 c,291.848044,44.968224,331,12.52
Kepler-407,Kepler-407 b,286.036347,49.614506,338.29,12.521
Kepler-407,Kepler-407 c,286.036347,49.614506,338.29,12.521
Kepler-408,Kepler-408 b,284.786175,48.423233,89,8.769
Kepler-409,Kepler-409 b,293.67919,46.852764,69,9.439
Kepler-41,Kepler-41 b,294.513229,45.981644,770,14.465
Kepler-410 A,Kepler-410 A b,283.150698,45.139832,132,9.5
Kepler-411,Kepler-411 b,287.605582,49.523262,153,12.231
Kepler-411,Kepler-411 c,287.605582,49.523262,153,12.231
Kepler-412,Kepler-412 b,286.110327,43.680958,1056,13.73
Kepler-413,Kepler-413 b,288.51062,51.162472,848.13,15.52
Kepler-414,Kepler-414 b,297.961566,48.244362,440,13.338
Kepler-414,Kepler-414 c,297.961566,48.244362,440,13.338
Kepler-415,Kepler-415 b,293.804434,38.639131,617,15.842
Kepler-415,Kepler-415 c,293.804434,38.639131,617,15.842
Kepler-416,Kepler-416 b,291.556965,39.227287,711,14.028
Kepler-416,Kepler-416 c,291.556965,39.227287,711,14.028
Kepler-417,Kepler-417 b,293.824314,42.779705,981,15.886
Kepler-417,Kepler-417 c,293.824314,42.779705,981,15.886
Kepler-418,Kepler-418 b,294.433512,38.35545,1017,14.696
Kepler-419,Kepler-419 b,295.417899,51.184765,872,13.005
Kepler-419,Kepler-419 c,295.417899,51.184765,872,13.005
Kepler-42,Kepler-42 b,292.219033,44.61916,38.7,16.124
Kepler-42,Kepler-42 c,292.219033,44.61916,38.7,16.124
Kepler-42,Kepler-42 d,292.219033,44.61916,38.7,16.124
Kepler-421,Kepler-421 b,283.256822,45.087776,320,13.354
Kepler-422,Kepler-422 b,282.629656,46.323357,692,13.435
Kepler-423,Kepler-423 b,292.855742,46.391178,725,14.29
Kepler-424,Kepler-424 b,298.62489,48.577454,698.39,14.256
Kepler-424,Kepler-424 c,298.62489,48.577454,698.39,14.256
Kepler-425,Kepler-425 b,290.358009,40.567738,650,14.97
Kepler-426,Kepler-426 b,289.434628,49.4734,880,15.073
Kepler-427,Kepler-427 b,288.25458,43.704868,1100,14.42
Kepler-428,Kepler-428 b,290.581722,40.5774,720,15.405
Kepler-43,Kepler-43 b,285.240856,46.668255,1950,13.958
Kepler-430,Kepler-430 b,292.808636,49.579445,816,13.848
Kepler-430,Kepler-430 c,292.808636,49.579445,816,13.848
Kepler-431,Kepler-431 b,281.112335,43.227789,427,11.973
Kepler-431,Kepler-431 c,281.112335,43.227789,427,11.973
Kepler-431,Kepler-431 d,281.112335,43.227789,427,11.973
Kepler-432,Kepler-432 b,293.282206,48.2859,870,12.465
Kepler-432,Kepler-432 c,293.282206,48.2859,870,12.465
Kepler-433,Kepler-433 b,297.593651,40.977268,1870,14.463
Kepler-434,Kepler-434 b,293.586381,42.928913,1240,14.517
Kepler-435,Kepler-435 b,292.287328,43.197281,2070,13.643
Kepler-436,Kepler-436 b,301.720753,44.412063,618,15.856
Kepler-436,Kepler-436 c,301.720753,44.412063,618,15.856
Kepler-437,Kepler-437 b,297.347393,44.026947,417,14.352
Kepler-438,Kepler-438 b,281.645806,41.951092,145,14.467
Kepler-439,Kepler-439 b,280.801566,44.033994,693,14.56
Kepler-44,Kepler-44 b,300.102352,45.762142,2250,14.678
Kepler-440,Kepler-440 b,285.349952,41.452206,261,15.134
Kepler-441,Kepler-441 b,284.566904,49.012546,284,15.142
Kepler-442,Kepler-442 b,285.366589,39.280081,342,14.976
Kepler-443,Kepler-443 b,288.610544,49.968632,779,15.891
Kepler-444,Kepler-444 b,289.752289,41.634605,35.7,8.88
Kepler-444,Kepler-444 c,289.752289,41.634605,35.7,8.88
Kepler-444,Kepler-444 d,289.752289,41.634605,35.7,8.88
Kepler-444,Kepler-444 e,289.752289,41.634605,35.7,8.88
Kepler-444,Kepler-444 f,289.752289,41.634605,35.7,8.88
Kepler-445,Kepler-445 b,298.736067,46.498552,90,17.475
Kepler-445,Kepler-445 c,298.736067,46.498552,90,17.475
Kepler-445,Kepler-445 d,298.736067,46.498552,90,17.475
Kepler-446,Kepler-446 b,282.250207,44.921102,120,16.257
Kepler-446,Kepler-446 c,282.250207,44.921102,120,16.257
Kepler-446,Kepler-446 d,282.250207,44.921102,120,16.257
Kepler-447,Kepler-447 b,285.268586,48.560013,283,12.394
Kepler-449,Kepler-449 b,293.732821,41.900829,279,11.411
Kepler-449,Kepler-449 c,293.732821,41.900829,279,11.411
Kepler-45,Kepler-45 b,292.8729,41.064261,333,16.88
Kepler-450,Kepler-450 b,295.486509,51.0135,437,11.684
Kepler-450,Kepler-450 c,295.486509,51.0135,437,11.684
Kepler-450,Kepler-450 d,295.486509,51.0135,437,11.684
Kepler-452,Kepler-452 b,296.003688,44.277561,548,13.426
Kepler-453,Kepler-453 b,283.241297,46.378471,442.69,13.552
Kepler-454,Kepler-454 b,287.478529,38.228866,233,11.57
Kepler-454,Kepler-454 c,287.478529,38.228866,233,11.57
KIC 9663113,Kepler-458 c,297.045421,46.328701,1594.34,13.955
