loc_rowid,epic_name,ra,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_rad,st_raderr1,st_raderr2,st_radlim,st_kep,st_keperr,st_keplim,st_k2,st_k2err,st_k2lim
89,EPIC 201390927,184.585541,-1.09883,2.638,0.0003,-0.00029,0,2457583.341,0.0042,-0.0046,0,,,,,10.9,1.6,-2.9,0,0.0265,0.0025,-0.0019,0,2.91,0.4,-0.33,0,,,,,14.21,,0,11.39,0.029,0
90,EPIC 201392505,183.188553,-1.074821,27.47083,0.01089,-0.01286,0,2457592.08,0.0186,-0.0163,0,,,,,30.9,3.3,-7.5,0,0.0412,0.0032,-0.0021,0,3.36,0.26,-0.18,0,,,,,13.384,,0,11.282,0.026,0
97,EPIC 201407812,174.044144,-0.840699,2.8268121,,,0,2456812.488,,,0,,,,,,,,,0.456,,,0,40.1,,,0,0.98,,,0,11.858,,0,10.399,0.024,0
103,EPIC 201441872,173.600418,-0.334585,4.4416421,,,0,2456812.872,,,0,,,,,,,,,0.01089,,,0,1.17,,,0,0.9,,,0,12.088,,0,10.484,0.052,0
104,EPIC 201441872,173.600418,-0.334585,4.441258,0.000878,-0.000942,0,2456812.871,0.00673,-0.007226,0,87.001,2.211,-15.245,0,10.962068,3.129384,-7.764589,0,0.01236,0.00927,-0.00134,0,1.124,0.846,-0.129,0,0.83,0.05,-0.03,0,12.088,,0,10.484,0.052,0
117,EPIC 201488365,168.187897,0.348009,3.3643115,,,0,2456812.224,,,0,,,,,,,,,0.6248,,,0,85.6,,,0,1.32,,,0,8.814,,0,7.211,0.022,0
118,EPIC 201497682,168.936646,0.488114,7.7991586,,,0,2456814.271,,,0,,,,,,,,,0.01829,,,0,1.57,,,0,0.7,,,0,13.74,,0,11.438,0.026,0
119,EPIC 201497682,168.936646,0.488114,13.837814,,,0,2456820.957,,,0,,,,,,,,,0.02306,,,0,1.96,,,0,0.7,,,0,13.74,,0,11.438,0.026,0
132,EPIC 201512465,173.562927,0.713972,2.33293,0.00014,-0.00014,0,2456810.152,0.003,-0.003,0,,,,,,,,,0.12,0.21,-0.21,0,3.2,5.2,-5.2,0,0.22,0.03,-0.03,0,17.614,,0,13.362,0.045,0
133,EPIC 201512465,173.562927,0.713972,2.3330982,,,0,2456812.482,,,0,,,,,,,,,0.1061,,,0,5.48,,,0,0.5,,,0,17.614,,0,13.362,0.045,0
134,EPIC 201516974,174.314484,0.783149,36.762337,,,0,2456819.743,,,0,,,,,,,,,0.03712,,,0,3.44,,,0,0.75,,,0,11.238,,0,9.27,0.021,0
135,EPIC 201516974,174.314484,0.783149,36.7099,0.0124,-0.0126,0,2456819.806,0.0098,-0.0095,0,82.6,2.5,-1.1,0,6.9,2.2,-0.7,0,0.0489,0.0028,-0.0033,0,,,,,,,,,11.238,,0,9.27,0.021,0
136,EPIC 201528215,172.804214,0.958577,6.3991398,,,0,2456816.154,,,0,,,,,,,,,0.01901,,,0,1.85,,,0,0.8,,,0,13.463,,0,11.711,0.025,0
140,EPIC 201534540,171.651169,1.055233,2.72273204,,,0,2456814.492,,,0,,,,,,,,,,,,,,,,,,,,,8.197,,0,7.488,0.022,0
141,EPIC 201546136,169.147064,1.228497,1.9668579,,,0,2456810.595,,,0,,,,,,,,,0.01764,,,0,1.51,,,0,0.77,,,0,13.812,,0,11.951,0.023,0
156,EPIC 201556134,177.92511,1.379641,12.726743,,,0,2456822,,,0,,,,,,,,,0.02141,,,0,1.91,,,0,0.73,,,0,14.293,,0,12.201,0.029,0
157,EPIC 201563164,177.14003,1.483144,0.18746328,,,0,2456810.308,,,0,,,,,,,,,0.1236,,,0,217,,,0,17.27,,,0,17.292,,0,,,
158,EPIC 201565013,176.992188,1.510249,8.63829,0.00017,-0.00017,0,2456811.428,0.00089,-0.00089,0,,,,,,,,,0.1408,0.0075,-0.0075,0,6.81,0.76,-0.76,0,0.44,0.04,-0.04,0,16.907,,0,14.084,0.073,0
159,EPIC 201565013,176.992188,1.510249,8.6381,0.00024,-0.00024,0,2456811.428,0.0016,-0.0016,0,,,,,28.07,2.68,-2.68,0,,,,,15.99,9.19,-9.19,0,0.5,0.12,-0.03,0,16.907,,0,14.084,0.073,0
160,EPIC 201565013,176.992188,1.510249,8.6382631,,,0,2456811.428,,,0,,,,,,,,,0.162,,,0,8.53,,,0,0.5,,,0,16.907,,0,14.084,0.073,0
162,EPIC 201569483,167.171295,1.577513,5.7968861,,,0,2456813.313,,,0,,,,,,,,,0.3232,,,0,24.2,,,0,0.72,,,0,11.771,,0,9.883,0.023,0
168,EPIC 201577112,177.708939,1.691867,22.197992,,,0,2456826.004,,,0,,,,,,,,,0.112,,,0,5.34,,,0,0.4,,,0,16.1,,0,12.995,0.034,0
169,EPIC 201588420,170.934448,1.863959,3.2908998,,,0,2456813.49,,,0,,,,,,,,,0.01804,,,0,1.57,,,0,0.72,,,0,13.311,,0,11.122,0.019,0
170,EPIC 201595106,183.720352,1.96828,0.87703,0.00011,-0.00013,0,2457583.051,0.005,-0.0048,0,,,,,5.4,1.3,-1.3,0,0.0114,0.0011,-0.0009,0,1.2,0.11,-0.1,0,,,,,11.678,,0,10.218,0.021,0
171,EPIC 201595106,183.720352,1.96828,0.877183,0.000057,-0.000057,0,2457583.045,0.002704,-0.00264,0,84.701,3.774,-8.638,0,5.203693,1.0171,-1.740656,0,0.01382,0.00181,-0.0011,0,1.406,0.208,-0.126,0,0.93,0.06,-0.04,0,11.678,,0,10.218,0.021,0
175,EPIC 201596733,170.679092,1.993276,2.89607106,,,0,2456815.005,,,0,,,,,,,,,,,,,,,,,,,,,14.284,,0,10.763,0.019,0
176,EPIC 201596733,170.679092,1.993276,2.8964139,,,0,2456812.108,,,0,,,,,,,,,0.04958,,,0,2.45,,,0,0.42,,,0,14.284,,0,10.763,0.019,0
178,EPIC 201606542,170.311874,2.144426,0.44433632,,,0,2456810.638,,,0,,,,,,,,,0.01068,,,0,1.01,,,0,0.8,,,0,11.923,,0,10.191,0.021,0
179,EPIC 201606542,170.311874,2.144426,0.444372,0.000042,-0.000042,0,2456817.744,0.001,-0.00109,0,86.9,2.3,-6.9,0,8.3,5.5,-3.8,0,0.0136,0.002,-0.002,0,1.22,0.23,-0.23,0,0.82,0.05,-0.05,0,11.923,,0,10.191,0.021,0
186,EPIC 201617985,179.491653,2.321476,7.28138,0.00044,-0.00044,0,2456812.64,0.0028,-0.0028,0,,,,,,,,,0.41,0.34,-0.34,0,17,14,-14,0,0.4,0.02,-0.02,0,14.11,,0,10.9,0.019,0
187,EPIC 201617985,179.491653,2.321476,7.28161,0.00078,-0.00078,0,2456812.637,0.0047,-0.0047,0,,,,,26.04,1.16,-1.16,0,,,,,1.78,0.43,-0.43,0,0.49,0.03,-0.03,0,14.11,,0,10.9,0.019,0
188,EPIC 201617985,179.491653,2.321476,7.28131,,,0,2456812.64,,,0,,,,,,,,,0.03172,,,0,1.9,,,0,0.51,,,0,14.11,,0,10.9,0.019,0
189,EPIC 201617985,179.491653,2.321476,7.28116,0.00055,-0.00058,0,2456812.641,0.004,-0.004,0,88.28,,,0,26.25,,,0,0.033,0.003,-0.003,0,1.79,0.2,-0.18,0,,,,,14.11,,0,10.9,0.019,0
190,EPIC 201626686,169.447098,2.456006,5.28081,0.00014,-0.00014,0,2456812.354,0.0011,-0.0011,0,,,,,,,,,0.0328,0.0016,-0.0016,0,10.9,1.2,-1.2,0,3.01,0.29,-0.29,0,11.471,,0,10.23,0.021,0
191,EPIC 201626686,169.447098,2.456006,5.28130579,,,0,2456817.634,,,0,,,,,,,,,,,,,,,,,,,,,11.471,,0,10.23,0.021,0
195,EPIC 201631267,173.696472,2.527056,440,160,-120,0,2456829.674,0.001,-0.001,0,,,,,,,,,0.176,0.074,-0.057,0,16.3,6.8,-5.3,0,0.85,0.08,-0.08,0,12.78,,0,10.734,0.024,0
196,EPIC 201635132,170.13295,2.587,30,70,-20,0,2456826.985,0.001,-0.001,0,,,,,,,,,0.24,0.038,-0.038,0,22.8,9.3,-8.5,0,0.89,0.36,-0.36,0,15.143,,0,12.111,0.027,0
207,EPIC 201649426,177.234268,2.807619,27.770388,,,0,2456821.348,,,0,,,,,,,,,0.3722,,,0,25.1,,,0,0.71,,,0,13.223,,0,10.941,0.019,0
209,EPIC 201650711,172.044052,2.826891,0.25967056,,,0,2456810.441,,,0,,,,,,,,,0.01095,,,0,0.742,,,0,0.59,,,0,12.254,,0,9.309,0.024,0
210,EPIC 201650711,172.044052,2.826891,0.259669,0.000041,-0.000041,0,2456885.226,0.00126,-0.00117,0,82.1,5.7,-10.3,0,3.1,1.3,-0.8,0,0.0102,0.002,-0.001,0,0.77,0.14,-0.14,0,0.69,0.05,-0.05,0,12.254,,0,9.309,0.024,0
213,EPIC 201683540,169.214966,3.363874,1.9611469,,,0,2456812.176,,,0,,,,,,,,,0.08768,,,0,5.93,,,0,0.64,,,0,14.956,,0,12.347,0.03,0
216,EPIC 201702477,175.240799,3.681584,40.7362,0.00266,-0.00266,0,2456811.546,0.0025,-0.0025,0,,,,,56.98,7.61,-7.61,0,,,,,7.28,1.1,-1.1,0,0.85,0.11,-0.08,0,14.43,,0,12.766,0.033,0
217,EPIC 201702477,175.240799,3.681584,40.7302,0.004,-0.004,0,2456811.569,0.0028,-0.0028,0,,,,,,,,,0.0719,0.0031,-0.0031,0,7.8,1.4,-1.4,0,0.98,0.17,-0.17,0,14.43,,0,12.766,0.033,0
218,EPIC 201705526,172.385803,3.732106,18.10220826,,,0,2456831.497,,,0,,,,,,,,,,,,,,,,,,,,,9.938,,0,8.491,0.023,0
226,EPIC 201717159,178.436478,3.932202,0.60408352,,,0,2456810.836,,,0,,,,,,,,,0.02829,,,0,2.26,,,0,0.67,,,0,15.982,,0,12.967,0.04,0
227,EPIC 201717274,173.827774,3.934155,3.52674,0.0003,-0.00032,0,2456809.915,0.004,-0.004,0,88.32,,,0,15.58,,,0,0.038,0.004,-0.002,0,1.32,0.26,-0.25,0,,,,,14.828,,0,12.153,0.027,0
228,EPIC 201717274,173.827774,3.934155,3.5269024,,,0,2456813.441,,,0,,,,,,,,,0.04037,,,0,2.98,,,0,0.67,,,0,14.828,,0,12.153,0.027,0
229,EPIC 201717274,173.827774,3.934155,3.52743,0.00031,-0.00031,0,2456809.909,0.0042,-0.0042,0,,,,,,,,,0.0389,0.0052,-0.0052,0,1.11,0.34,-0.34,0,0.26,0.07,-0.07,0,14.828,,0,12.153,0.027,0
230,EPIC 201720401,179.166489,3.986442,6340,2230,-1530,0,2456816.314,0.002,-0.002,0,,,,,,,,,0.133,0.001,-0.001,0,12.8,1.1,-1.1,0,0.88,0.09,-0.09,0,14.74,,0,12.755,0.034,0
241,EPIC 201779067,168.542694,4.988131,27.242912,,,0,2456820.26,,,0,,,,,,,,,0.2367,,,0,18.8,,,0,0.9,,,0,11.119,,0,9.802,0.021,0
242,EPIC 201779067,168.542694,4.988131,27.27048734,,,0,2456820.231,,,0,,,,,,,,,,,,,,,,,,,,,11.119,,0,9.802,0.021,0
243,EPIC 201785059,170.697662,5.095361,1.3951513,,,0,2456811.598,,,0,,,,,,,,,0.02341,,,0,0.879,,,0,0.32,,,0,14.595,,0,10.854,0.019,0
244,EPIC 201785059,170.697662,5.095361,1.39533316,,,0,2456814.384,,,0,,,,,,,,,,,,,,,,,,,,,14.595,,0,10.854,0.019,0
245,EPIC 201828749,175.654343,5.894323,33.51569,0.00232,-0.00232,0,2456813.15,0.0034,-0.0034,0,,,,,67.09,67.64,-67.64,0,,,,,3.83,3.25,-3.25,0,0.71,9.64,-0.06,0,11.564,,0,9.933,0.028,0
246,EPIC 201828749,175.654343,5.894323,33.5107,0.0023,-0.0023,0,2456813.158,0.0033,-0.0033,0,,,,,,,,,0.02173,0.00099,-0.00099,0,2.14,0.16,-0.16,0,0.9,0.05,-0.05,0,11.564,,0,9.933,0.028,0
247,EPIC 201828749,175.654343,5.894323,33.515399,,,0,2456813.152,,,0,,,,,,,,,0.02561,,,0,2.03,,,0,0.65,,,0,11.564,,0,9.933,0.028,0
248,EPIC 201828749,175.654343,5.894323,33.513607,0.002761,-0.002778,0,2456813.154,0.003316,-0.003102,0,89.274,0.519,-1.07,0,45.335921,9.288253,-17.667244,0,0.02644,0.00341,-0.0015,0,2.473,0.345,-0.167,0,0.86,0.05,-0.03,0,11.564,,0,9.933,0.028,0
251,EPIC 201841433,175.206772,6.134857,12.339133,,,0,2456819.824,,,0,,,,,,,,,0.02881,,,0,2.59,,,0,0.73,,,0,14.571,,0,12.454,0.03,0
260,EPIC 201892470,170.997116,7.164978,2790,1270,-970,0,2456889.11,0.005,-0.005,0,,,,,,,,,0.121,0.073,-0.062,0,12.2,7.3,-6.3,0,0.93,0.09,-0.09,0,11.587,,0,9.89,0.023,0
265,EPIC 201920032,174.106903,7.753113,28.270642,,,0,2456833.202,,,0,,,,,,,,,0.02688,,,0,2.79,,,0,0.9,,,0,12.89,,0,11.364,0.025,0
266,EPIC 201920032,174.106903,7.753113,28.271761,0.003716,-0.003761,0,2456833.201,0.004755,-0.005757,0,89.305,0.508,-1.217,0,43.118601,7.525746,-17.213436,0,0.02661,0.00456,-0.00196,0,2.71,0.532,-0.241,0,0.93,0.09,-0.05,0,12.89,,0,11.364,0.025,0
267,EPIC 201920032,174.106903,7.753113,28.2692,0.0046,-0.0046,0,2456833.204,0.0063,-0.0063,0,,,,,,,,,0.0236,0.0021,-0.0021,0,3.35,0.43,-0.43,0,1.29,0.12,-0.12,0,12.89,,0,11.364,0.025,0
268,EPIC 201920032,174.106903,7.753113,28.2717,0.0141,-0.0139,0,2456833.206,0.0051,-0.0059,0,89.3,0.5,-1.3,0,42.8,8.2,-18.3,0,0.0264,0.0047,-0.002,0,,,,,,,,,12.89,,0,11.364,0.025,0
269,EPIC 201923289,174.920532,7.825885,0.78214992,,,0,2456810.377,,,0,,,,,,,,,0.01346,,,0,1.29,,,0,0.79,,,0,13.688,,0,11.87,0.023,0
270,EPIC 201927336,170.93399,7.917097,6.4498648,,,0,2456811.942,,,0,,,,,,,,,0.0257,,,0,2.63,,,0,0.85,,,0,13.101,,0,11.482,0.029,0
273,EPIC 202059377,99.184288,21.651569,1.5771832,,,0,2456772.583,,,0,,,,,,,,,0.2491,,,0,33.4,,,0,1.94,,,0,8.7,,0,8.422,0.017,0
275,EPIC 202064253,91.504227,22.89176,21.140574,,,0,2456777.994,,,0,,,,,,,,,0.2499,,,0,31.5,,,0,1.29,,,0,12.3,,0,11.148,0.018,0
276,EPIC 202066192,95.247452,26.12538,3.2923818,,,0,2456774.826,,,0,,,,,,,,,0.1053,,,0,19.6,,,0,1.87,,,0,14.8,,0,14.341,0.055,0
277,EPIC 202066537,104.266029,18.62674,6.9055211,,,0,2456775.097,,,0,,,,,,,,,0.1906,,,0,33.6,,,0,1.89,,,0,14.8,,0,13.578,0.043,0
278,EPIC 202066537,104.266029,18.62674,6.90487,0.00035,-0.00035,0,2456768.192,0.0012,-0.0012,0,,,,,,,,,0.34,0.21,-0.21,0,53,33,-33,0,1.45,0.14,-0.14,0,14.8,,0,13.578,0.043,0
279,EPIC 202071289,95.18309,24.904341,3.04622,0.0003,-0.0003,0,2456768.263,0.0023,-0.0023,0,,,,,,,,,0.3,0.28,-0.28,0,29,27,-27,0,0.89,0.1,-0.1,0,11,,0,9.259,0.017,0
280,EPIC 202071289,95.18309,24.904341,3.0459383,,,0,2456774.358,,,0,,,,,,,,,0.1997,,,0,19,,,0,0.89,,,0,11,,0,9.259,0.017,0
281,EPIC 202071401,100.377968,20.92281,3.238542,,,0,2456772.226,,,0,,,,,,,,,0.02037,,,0,1.67,,,0,0.69,,,0,12.9,,0,10.107,0.03,0
282,EPIC 202071401,100.377968,20.92281,3.2367,0.0011,-0.0011,0,2456769.002,0.0077,-0.0077,0,,,,,,,,,0.0196,0.0026,-0.0026,0,1.58,0.24,-0.24,0,0.74,0.05,-0.05,0,12.9,,0,10.107,0.03,0
283,EPIC 202071635,93.571808,18.62702,6.2719092,,,0,2456775.43,,,0,,,,,,,,,0.3733,,,0,60,,,0,1.81,,,0,10.2,,0,9.539,0.02,0
285,EPIC 202072596,99.510742,20.93931,3.979287,,,0,2456772.894,,,0,,,,,,,,,0.2167,,,0,37.5,,,0,1.84,,,0,11.2,,0,10.73,0.018,0
286,EPIC 202072965,96.599564,27.945601,2.1417519,,,0,2456772.766,,,0,,,,,,,,,0.5571,,,0,86.2,,,0,1.59,,,0,10.3,,0,9.331,0.021,0
289,EPIC 202086291,94.449677,25.60257,2.4343734,,,0,2456774.131,,,0,,,,,,,,,0.6393,,,0,61.4,,,0,0.9,,,0,12.3,,0,10.6,0.018,0
290,EPIC 202086968,97.00563,16.388849,1.8490876,,,0,2456772.183,,,0,,,,,,,,,0.2448,,,0,17.3,,,0,0.96,,,0,12.4,,0,10.83,0.022,0
291,EPIC 202088212,95.641296,14.74177,2.620724,,,0,2456772.299,,,0,,,,,,,,,0.1095,,,0,11.7,,,0,1.14,,,0,11.6,,0,10.201,0.018,0
292,EPIC 202088212,95.641296,14.74177,2.62077,0.00012,-0.00012,0,2456769.678,0.00096,-0.00096,0,,,,,,,,,0.4,0.25,-0.25,0,58,41,-41,0,1.4,0.39,-0.39,0,11.6,,0,10.201,0.018,0
293,EPIC 202089657,91.453552,23.484541,1.314437,0.000187,-0.000178,0,2456772.776,0.002453,-0.002557,0,84.965,3.714,-9.911,0,5.192105,0.828901,-1.880865,0,0.01931,0.00369,-0.00161,0,3.1,0.756,-0.54,0,1.47,0.22,-0.22,0,11.6,,0,10.266,0.02,0
294,EPIC 202089657,91.453552,23.484541,1.3144014,,,0,2456772.776,,,0,,,,,,,,,0.01995,,,0,2.78,,,0,1.23,,,0,11.6,,0,10.266,0.02,0
295,EPIC 202090152,101.079147,28.113581,4.8045244,,,0,2456773.449,,,0,,,,,,,,,0.02388,,,0,3.62,,,0,1.28,,,0,11.4,,0,10.117,0.014,0
296,EPIC 202091388,91.363777,21.256029,6.479656,0.001315,-0.001155,0,2456773.383,0.002569,-0.002629,0,88.133,1.307,-2.872,0,15.494492,2.308615,-5.384127,0,0.03315,0.00318,-0.00193,0,3.332,0.391,-0.225,0,0.92,0.06,-0.03,0,13.5,,0,11.826,0.02,0
297,EPIC 202091388,91.363777,21.256029,6.4804111,,,0,2456773.382,,,0,,,,,,,,,0.03274,,,0,3.39,,,0,0.89,,,0,13.5,,0,11.826,0.02,0
298,EPIC 202092480,103.052269,25.33909,2.8445331,,,0,2456772.339,,,0,,,,,,,,,0.5768,,,0,65.3,,,0,1.16,,,0,10.6,,0,9.332,0.019,0
299,EPIC 202093020,98.274323,16.870239,4.1376047,,,0,2456774.311,,,0,,,,,,,,,0.0959,,,0,7.33,,,0,0.7,,,0,14.8,,0,12.208,0.02,0
300,EPIC 202094740,100.46312,27.0972,0.689647,0.00052,-0.00052,0,2456775.198,0.001,-0.001,0,78,8.2,-11.1,0,3.1,0.7,-0.9,0,0.0558,0.005,-0.003,0,6.58,0.66,-0.66,0,1.08,0.04,-0.04,0,11.5,,0,10.421,0.019,0
301,EPIC 202126847,102.201302,17.161909,4.1687922,,,0,2456774.07,,,0,,,,,,,,,0.1802,,,0,16.1,,,0,1.14,,,0,12.4,,0,11.031,0.021,0
302,EPIC 202126849,99.898003,25.48254,3.7999139,,,0,2456774.286,,,0,,,,,,,,,0.1567,,,0,10.8,,,0,0.64,,,0,13.6,,0,10.326,0.019,0
306,EPIC 202126887,99.380539,26.786551,12.866539,,,0,2456777.241,,,0,,,,,,,,,0.1905,,,0,22.3,,,0,1.18,,,0,13,,0,11.629,0.026,0
308,EPIC 202126888,98.047508,27.21978,1.8461222,,,0,2456773.477,,,0,,,,,,,,,0.09427,,,0,19.5,,,0,1.82,,,0,13.5,,0,12.223,0.02,0
310,EPIC 202565282,247.426056,-29.201727,11.975818,,,0,2456900.746,,,0,,,,,,,,,0.2915,,,0,8.43,,,0,0.28,,,0,15.112,,0,11.899,0.026,0
311,EPIC 202565282,247.426056,-29.201727,11.97495,0.00027,-0.00027,0,2456900.75,0.00098,-0.00098,0,,,,,,,,,0.76,0.18,-0.18,0,256,101,-101,0,3.4,3.7,-3.7,0,15.112,,0,11.899,0.026,0
312,EPIC 202634963,242.897903,-28.934635,28.707623,,,0,2456920.11,,,0,,,,,,,,,0.2136,,,0,21.2,,,0,1.03,,,0,12.1,,0,10.749,0.023,0
313,EPIC 202675839,243.842102,-28.780161,15.4715,0.0036,-0.0036,0,2456898.835,0.0087,-0.0087,0,,,,,,,,,0.044,0.075,-0.075,0,9.2,5.6,-5.6,0,1.89,0.18,-0.18,0,12.362,,0,10.49,0.025,0
314,EPIC 202675839,243.842102,-28.780161,15.465691,,,0,2456898.85,,,0,,,,,,,,,0.04849,,,0,4.13,,,0,0.76,,,0,12.362,,0,10.49,0.025,0
315,EPIC 202675839,243.842102,-28.780161,15.466674,0.001525,-0.001554,0,2456898.849,0.003611,-0.003689,0,85.475,1.803,-1.756,0,13.540111,5.222749,-1.515878,0,0.12002,0.30228,-0.06198,0,16.121,40.68,-8.499,0,1.23,0.19,-0.13,0,12.362,,0,10.49,0.025,0
316,EPIC 202688980,244.220779,-28.730322,1.4556637,,,0,2456896.637,,,0,,,,,,,,,,,,,,,,,,,,,11.772,,0,10.232,0.024,0
317,EPIC 202710713,244.066895,-28.649134,3.3262396,,,0,2456895.376,,,0,,,,,,,,,0.03846,,,0,1.16,,,0,0.33,,,0,12.237,,0,8.366,0.023,0
318,EPIC 202710713,244.066895,-28.649134,3.32592848,,,0,2456898.703,,,0,,,,,,,,,,,,,,,,,,,,,12.237,,0,8.366,0.023,0
319,EPIC 202821899,249.160019,-28.239061,4.4743465,,,0,2456895.689,,,0,,,,,,,,,0.03229,,,0,3.06,,,0,0.81,,,0,12.577,,0,10.805,0.024,0
320,EPIC 202821899,249.160019,-28.239061,4.474513,0.0003,-0.000307,0,2456895.688,0.002879,-0.003146,0,87.804,1.604,-3.641,0,13.497927,2.395803,-5.080403,0,0.03372,0.0056,-0.00246,0,8.169,1.707,-1.261,0,2.22,0.28,-0.3,0,12.577,,0,10.805,0.024,0
321,EPIC 202843107,245.547791,-28.161823,2.1989041,,,0,2456896.495,,,0,,,,,,,,,0.6032,,,0,46.6,,,0,0.75,,,0,11.829,,0,9.878,0.023,0
322,EPIC 202893157,246.559174,-27.983086,4.1657292,,,0,2456894.444,,,0,,,,,,,,,0.05024,,,0,1.86,,,0,0.36,,,0,14.421,,0,10.369,0.027,0
323,EPIC 202900527,246.811157,-27.957048,13.008383,0.00021,-0.000214,0,2456905.757,0.000574,-0.000533,0,89.033,0.594,-0.53,0,19.299148,0.888649,-1.180385,0,0.10101,0.00224,-0.00133,0,15.651,3.016,-2.284,0,1.42,0.27,-0.21,0,12.303,,0,10.03,0.019,0
327,EPIC 203070421,250.453125,-27.361034,1.7359447,,,0,2456895.707,,,0,,,,,,,,,0.02551,,,0,1.89,,,0,0.84,,,0,12.544,,0,10.862,0.024,0
328,EPIC 203099398,243.813049,-27.261663,1.8389349,,,0,2456896.018,,,0,,,,,,,,,0.01201,,,0,0.837,,,0,0.58,,,0,10.634,,0,7.637,0.017,0
329,EPIC 203294831,239.879211,-26.604366,1.85872487,,,0,2456897.388,,,0,,,,,,,,,,,,,,,,,,,,,11.571,,0,10.586,0.019,0
330,EPIC 203294831,239.879211,-26.604366,1.859017,0.0000098,-0.0000098,0,2456893.666,0.00025,-0.00025,0,,,,,,,,,0.283,0.045,-0.045,0,64,20,-20,0,2.03,0.56,-0.56,0,11.571,,0,10.586,0.019,0
331,EPIC 203294831,239.879211,-26.604366,1.8590179,,,0,2456895.525,,,0,,,,,,,,,0.2654,,,0,30.5,,,0,1.33,,,0,11.571,,0,10.586,0.019,0
332,EPIC 203311200,240.976395,-26.553753,540,410,-230,0,2456954.021,0.003,-0.002,0,,,,,,,,,0.056,0.003,-0.002,0,5.7,0.6,-0.6,0,0.94,0.09,-0.09,0,11.896,,0,10.324,0.022,0
335,EPIC 203518244,244.162918,-25.870047,0.8411257,,,0,2456894.581,,,0,,,,,,,,,0.01098,,,0,0.884,,,0,0.66,,,0,13.226,,0,10.645,0.019,0
336,EPIC 203533312,243.955383,-25.818472,0.17566,0.000183,-0.000183,0,2456933.986,0.00038,-0.00038,0,76.6,9.4,-11.2,0,1.7,0.1,-0.2,0,0.0248,0.001,-0.001,0,3.11,0.24,-0.24,0,1.15,0.08,-0.08,0,12.16,,0,9.847,0.024,0
337,EPIC 203560204,240.685349,-25.725641,29.33873041,,,0,2456924.706,,,0,,,,,,,,,,,,,,,,,,,,,14.629,,0,11.328,0.021,0
339,EPIC 203623230,252.222336,-25.507933,2.54427583,,,0,2456897.209,,,0,,,,,,,,,,,,,,,,,,,,,8.694,,0,8.061,0.022,0
342,EPIC 203710387,244.127853,-25.205603,1.4044283,,,0,2456894.711,,,0,,,,,,,,,0.3227,,,0,3.66,,,0,0.12,,,0,14.268,,0,11.907,0.023,0
344,EPIC 203753577,252.861847,-25.053404,3.4007758,,,0,2456895.094,,,0,,,,,,,,,0.06863,,,0,5.57,,,0,0.89,,,0,11.106,,0,9.477,0.033,0
353,EPIC 203823381,247.137039,-24.798592,8.2766395,,,0,2456901.895,,,0,,,,,,,,,0.06088,,,0,0.724,,,0,0.11,,,0,13.468,,0,10.657,0.021,0
354,EPIC 203823381,247.137039,-24.798592,8.2781,,,0,2456893.602,,,0,,,,,,,,,,,,,,,,,,,,,13.468,,0,10.657,0.021,0
367,EPIC 203867512,253.247314,-24.626259,28.465633,,,0,2456918.548,,,0,,,,,,,,,0.1642,,,0,18.4,,,0,0.96,,,0,11.858,,0,10.465,0.021,0
369,EPIC 203914123,244.380737,-24.437021,83830,31600,-22320,0,2456946.278,0.002,-0.002,0,,,,,,,,,0.149,0.001,-0.001,0,12,1.1,-1.1,0,0.74,0.07,-0.07,0,9.039,,0,6.321,0.017,0
370,EPIC 203929178,252.422714,-24.373808,1.153886,0.000028,-0.000028,0,2456893.581,0.0011,-0.0011,0,,,,,,,,,0.53,0.23,-0.23,0,99,52,-52,0,1.8,0.52,-0.52,0,11.16,,0,10.519,0.02,0
371,EPIC 203942067,243.824478,-24.319227,1.6398934,,,0,2456895.547,,,0,,,,,,,,,0.4392,,,0,33,,,0,0.79,,,0,12.08,,0,10.342,0.025,0
373,EPIC 204057095,242.753174,-23.840353,23.210585,,,0,2456913.627,,,0,,,,,,,,,0.06981,,,0,5.7,,,0,0.81,,,0,11.583,,0,9.847,0.024,0
381,EPIC 204276894,248.663422,-22.970772,1.957,,,0,2456893.373,,,0,,,,,,,,,,,,,,,,,,,,,11.466,,0,5.743,0.022,0
382,EPIC 204312847,250.413696,-22.828453,24.193613,,,0,2456906.33,,,0,,,,,,,,,0.3778,,,0,30.7,,,0,0.87,,,0,11.37,,0,9.658,0.025,0
383,EPIC 204346718,245.320053,-22.693525,0.64292573,,,0,2456896.425,,,0,,,,,,,,,,,,,,,,,,,,,14.626,,0,12.225,0.021,0
386,EPIC 204489514,240.756729,-22.131222,10.2236,0.0024,-0.0024,0,2456893.642,0.0093,-0.0093,0,,,,,,,,,0.61,0.2,-0.2,0,132,58,-58,0,2.04,0.61,-0.61,0,14.08,,0,11.729,0.025,0
