loc_rowid,epic_name,ra,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_rad,st_raderr1,st_raderr2,st_radlim,st_kep,st_keperr,st_keplim,st_k2,st_k2err,st_k2lim
1020,EPIC 211987231,137.382996,20.048244,17.04066667,,,0,2457158.843,,,0,,,,,,,,,,,,,,,,,,,,,11.68,,0,10.34,0.023,0
1021,EPIC 211988320,136.088364,20.065472,63.84825,0.00562,-0.00598,0,2457142.721,0.005,-0.004,0,89.81,,,0,92.48,,,0,0.041,0.001,-0.001,0,2.86,0.16,-0.15,0,,,,,14.122,,0,11.36,0.02,0
1028,EPIC 211993818,126.204918,20.152994,8.986648,0.000068,-0.000067,0,2457149.028,0.000278,-0.000292,0,83.707,0.99,-1.273,0,10.169716,0.314636,-0.231158,0,0.30778,0.22704,-0.10175,0,143.037,107.939,-50.371,0,4.26,0.68,-0.52,0,7.218,,0,5.495,0.024,0
1029,EPIC 211993818,126.204918,20.152994,8.986,,,0,2457140.043,,,0,,,,,,,,,0.22056,,,0,,,,,,,,,7.218,,0,5.495,0.024,0
1030,EPIC 211995325,131.207596,20.177694,0.279258,0.00015,-0.00015,0,2457154.452,0.00175,-0.00174,0,79.8,7.3,-11.7,0,2.2,0.7,-0.3,0,0.1243,0.021,-0.011,0,8.41,3.31,-3.31,0,0.62,0.22,-0.22,0,18.219,,0,14.987,0.119,0
1031,EPIC 211995398,123.656303,20.179146,32.576,,,0,2457169.858,,,0,,,,,,,,,0.19579,,,0,,,,,,,,,16.725,,0,13.908,,-1
1033,EPIC 212006318,130.501328,20.359306,14.443,,,0,2457147.342,,,0,,,,,,,,,0.01565,,,0,,,,,,,,,12.909,,0,11.557,0.018,0
1034,EPIC 212006318,130.501328,20.359306,14.460563,0.003663,-0.004694,0,2457147.326,0.011306,-0.00969,0,87.972,1.461,-3.06,0,13.899444,2.156379,-4.629997,0,0.0151,0.00168,-0.00109,0,1.755,0.307,-0.191,0,1.07,0.14,-0.09,0,12.909,,0,11.557,0.018,0
1044,EPIC 212009427,127.874458,20.410421,0.778,,,0,2457140.262,,,0,,,,,,,,,0.07368,,,0,,,,,,,,,14.072,,0,10.767,0.02,0
1052,EPIC 212066407,129.838516,21.390829,0.82182448,,,0,2457142.833,,,0,,,,,,,,,,,,,,,,,,,,,12.176,,0,10.844,0.019,0
1053,EPIC 212066407,129.838516,21.390829,0.822,,,0,2457140.365,,,0,,,,,,,,,0.0209,,,0,,,,,,,,,12.176,,0,10.844,0.019,0
1058,EPIC 212088059,132.70787,21.789122,10.366,,,0,2457141.715,,,0,,,,,,,,,0.03521,,,0,,,,,,,,,14.757,,0,11.46,0.021,0
1059,EPIC 212099230,128.073578,22.00601,7.11047482,,,0,2457149.08,,,0,,,,,,,,,,,,,,,,,,,,,10.513,,0,8.873,0.023,0
1060,EPIC 212099230,128.073578,22.00601,7.112,,,0,2457141.963,,,0,,,,,,,,,0.02418,,,0,,,,,,,,,10.513,,0,8.873,0.023,0
1061,EPIC 212099230,128.073578,22.00601,7.112273,0.000284,-0.000278,0,2457149.073,0.001427,-0.001488,0,,,,,,,,,0.0302,0.0011,-0.001,0,3.2,0.3,-0.2,0,0.96,,,0,10.513,,0,8.873,0.023,0
1062,EPIC 212110007,133.310974,22.218977,16.7004351,,,0,2457144.7,,,0,,,,,,,,,,,,,,,,,,,,,14.245,,0,12.176,0.021,0
1069,EPIC 212132195,125.987068,22.663046,26.198,,,0,2457164.39,,,0,,,,,,,,,0.02935,,,0,,,,,,,,,11.67,,0,9.501,0.023,0
1070,EPIC 212132195,125.987068,22.663046,26.197022,0.002327,-0.002189,0,2457164.391,0.001596,-0.001666,0,89.517,0.352,-0.774,0,55.153809,6.919249,-18.309164,0,0.03128,0.00207,-0.00141,0,2.362,0.172,-0.127,0,0.69,0.02,-0.02,0,11.67,,0,9.501,0.023,0
1071,EPIC 212133517,126.174522,22.688932,9.73605539,,,0,2457151.161,,,0,,,,,,,,,,,,,,,,,,,,,13.387,,0,11.818,0.021,0
1072,EPIC 212136123,129.21199,22.741123,2.226,,,0,2457140.262,,,0,,,,,,,,,0.026,,,0,,,,,,,,,14.916,,0,12.855,0.026,0
1073,EPIC 212138198,126.02356,22.783291,3.209185,0.000053,-0.000053,0,2457142.372,0.000686,-0.000714,0,,,,,,,,,0.4132,0.3769,-0.2713,0,40.1,36.7,-26.4,0,0.89,,,0,12.902,,0,10.88,0.019,0
1074,EPIC 212138198,126.02356,22.783291,3.209,,,0,2457142.373,,,0,,,,,,,,,0.04491,,,0,,,,,,,,,12.902,,0,10.88,0.019,0
1075,EPIC 212138198,126.02356,22.783291,3.209149,0.000047,-0.000042,0,2457142.373,0.000557,-0.000604,0,86.457,2.971,-3.305,0,14.582916,15.41028,-4.575897,0,0.05761,0.18237,-0.01344,0,5.275,16.698,-1.243,0,0.84,0.04,-0.03,0,12.902,,0,10.88,0.019,0
1076,EPIC 212141021,127.921181,22.841669,2.918,,,0,2457140.099,,,0,,,,,,,,,0.01567,,,0,,,,,,,,,13.295,,0,11.242,0.017,0
1077,EPIC 212150006,128.16954,23.032,0.898312,0.000025,-0.000024,0,2457142.677,0.001068,-0.001114,0,,,,,,,,,0.3728,0.3056,-0.2431,0,32,29.2,-24.5,0,0.79,,,0,14.7,,0,12.948,0.031,0
