loc_rowid,st_teff,st_rad,st_lum,st_lum_utl,st_dist,hz_inner_au,hz_outer_au,hz_center_au,hz_inner_mas,hz_outer_mas,hz_center_mas,RA,Dec
148,5300,0.898,0.57016,0.57016,204,0.5663,1.3365,0.7551,2.776,6.552,3.701,222.767436,5.947368
149,5680,1.103,1.1298,1.1298,395,0.7972,1.8814,1.0629,2.018,4.763,2.691,13.000766,34.728413
150,6087,1.3,,2.09313,322,1.0851,2.5608,1.4468,3.37,7.953,4.493,33.131142,51.778759
151,5185,0.87,,0.49355,138,0.5269,1.2435,0.7025,3.818,9.011,5.091,206.094121,48.028667
152,6304,1.31,,2.44514,193,1.1728,2.7677,1.5637,6.077,14.341,8.102,123.949894,5.836719
153,6065,1.39,,2.35857,354,1.1518,2.7183,1.5358,3.254,7.679,4.338,271.537705,26.426662
154,6207,1.19,,1.89635,283,1.0328,2.4374,1.3771,3.65,8.613,4.866,31.042848,46.687836
155,6446,1.79,,4.99073,387,1.6755,3.9542,2.234,4.329,10.217,5.773,113.184212,33.835052
156,6442,1.73,,4.6502,257,1.6173,3.8169,2.1564,6.293,14.852,8.391,303.195342,18.104868
157,6096,3.82,,18.18039,535,3.1979,7.547,4.2638,5.977,14.107,7.97,123.250764,4.787023
158,5560,1,,0.86218,317,0.6964,1.6435,0.9285,2.197,5.185,2.929,188.266255,44.915352
159,5500,0.877,0.61944,0.61944,411,0.5903,1.3931,0.787,1.436,3.389,1.915,284.296064,51.269138
160,5330,0.923,0.61944,0.61944,249,0.5903,1.3931,0.787,2.371,5.595,3.161,35.383234,32.246151
161,6430,1.625,4.04576,4.04576,642,1.5086,3.5602,2.0114,2.35,5.545,3.133,113.758247,17.830082
162,5860,,2.69774,2.69774,314,1.2319,2.9072,1.6425,3.923,9.259,5.231,229.991354,36.229664
163,6080,1.94,,4.63996,501,1.6155,3.8127,2.1541,3.225,7.61,4.3,335.512861,45.457378
164,6390,2.05,,6.32132,344,1.8857,4.4502,2.5142,5.482,12.937,7.309,297.322651,4.672421
165,5743,1.53,2.26986,2.26986,447,1.13,2.6667,1.5066,2.528,5.966,3.37,135.344391,6.09723
166,5645,1.103,1.10917,1.10917,542,0.7899,1.8641,1.0532,1.457,3.439,1.943,128.925737,10.206653
167,5295,0.949,0.63973,0.63973,363,0.5999,1.4157,0.7998,1.653,3.9,2.203,213.144074,47.014687
168,6330,1.319,2.51189,2.51189,305,1.1887,2.8053,1.5849,3.897,9.198,5.196,274.373238,-3.381036
169,6120,1.396,2.46037,2.46037,296,1.1764,2.7763,1.5686,3.974,9.38,5.299,270.444201,-2.970947
170,6820,2.06,,8.28264,322,2.1585,5.094,2.878,6.703,15.82,8.938,305.441397,26.692652
171,5960,1.12,,1.42797,340,0.8962,2.1151,1.195,2.636,6.221,3.515,274.405476,36.62141
172,6280,1.698,4.01,4.01,497,1.5019,3.5444,2.0025,3.022,7.132,4.029,118.063411,12.13941
173,5449,1.041,0.859,0.859,470,0.6951,1.6405,0.9268,1.479,3.49,1.972,21.06519,32.810764
174,5131,0.893,0.496,0.496,385,0.5282,1.2466,0.7043,1.372,3.238,1.829,42.721679,29.022396
175,5956,1.209,1.65,1.65,719,0.9634,2.2736,1.2845,1.34,3.162,1.787,21.871105,38.968147
176,4390,0.617,0.1254,0.1254,144.25,0.2656,0.6268,0.3541,1.841,4.345,2.455,99.898003,25.48254
177,5808,1.011,,1.04931,480,0.7683,1.8131,1.0244,1.601,3.777,2.134,264.273447,25.731186
178,6566,1.47,,3.62356,310.5,1.4277,3.3693,1.9036,4.598,10.851,6.131,100.848038,27.252293
179,6330,1.85,,4.95741,303,1.6699,3.9409,2.2265,5.511,13.006,7.348,274.743421,10.597294
180,6570,1.62,,4.41152,261,1.5753,3.7176,2.1004,6.036,14.244,8.047,354.774222,42.465973
181,5835,1.86,3.59,3.59,841,1.421,3.3537,1.8947,1.69,3.988,2.253,315.905487,11.989404
182,6002,1.881,4.12,4.12,927,1.5223,3.5927,2.0298,1.642,3.876,2.19,150.572632,53.950863
183,6406,2.546,8.68,8.68,320,2.2096,5.2147,2.9462,6.905,16.296,9.207,256.610687,44.776981
184,6389,2,,6.01296,320,1.8391,4.3403,2.4521,5.747,13.563,7.663,292.24731,47.969513
185,6200,1.57,,3.28596,230,1.3595,3.2085,1.8127,5.911,13.95,7.881,343.041067,35.447109
186,6350,1.32,2.5704,2.5704,480,1.2024,2.8377,1.6032,2.505,5.912,3.34,110.168529,37.140652
187,5870,1.038,1.1,1.1,303,0.7866,1.8564,1.0488,2.596,6.127,3.461,175.525336,-23.354836
188,5880,1.105,1.30918,1.30918,496,0.8581,2.0252,1.1442,1.73,4.083,2.307,294.306813,-22.204477
189,6563,1.54,,3.96961,967.34,1.4943,3.5265,1.9924,1.545,3.646,2.06,289.400757,-22.389927
190,6357,1.17,,2.01687,512.41,1.0651,2.5137,1.4202,2.079,4.906,2.772,289.202393,-19.355907
191,5523,0.887,,0.66046,476,0.6095,1.4385,0.8127,1.28,3.022,1.707,316.961465,-26.096655
192,5346,0.933,,0.64147,513,0.6007,1.4176,0.8009,1.171,2.763,1.561,313.215479,-25.687334
193,5311,0.922,0.625,0.625,689,0.5929,1.3993,0.7906,0.861,2.031,1.147,311.091961,-19.43751
194,5738,1.238,1.49,1.49,774,0.9155,2.1606,1.2207,1.183,2.791,1.577,358.55871,-30.012999
195,5846,1.091,1.24,1.24,339,0.8352,1.971,1.1136,2.464,5.814,3.285,192.189799,-47.613693
196,5600,1.02,0.93,0.93,645,0.7233,1.7069,0.9644,1.121,2.646,1.495,173.957397,-29.156012
197,5227,0.898,0.53951,0.53951,360,0.5509,1.3001,0.7345,1.53,3.611,2.04,176.739094,-22.562992
198,4803,0.689,0.226,0.226,207.9,0.3565,0.8414,0.4754,1.715,4.047,2.287,174.00972,-29.543312
199,5780,1.199,1.43,1.43,747,0.8969,2.1166,1.1958,1.201,2.833,1.601,286.366699,-50.067352
200,6346,1.172,1.96,1.96,510,1.05,2.478,1.4,2.059,4.859,2.745,268.890686,-61.747311
201,5715,1.107,1.17,1.17,466,0.8112,1.9145,1.0817,1.741,4.108,2.321,207.907777,-23.781174
202,6071,2.04,5.06,5.06,907,1.6871,3.9815,2.2494,1.86,4.39,2.48,144.926863,-28.58559
203,6438,1.74,4.67,4.67,840,1.6208,3.825,2.161,1.929,4.554,2.573,193.55256,-46.587715
204,5498,0.922,0.696,0.696,521,0.6257,1.4767,0.8343,1.201,2.834,1.601,284.399685,-49.13847
205,5670,1.073,1.07,1.07,351,0.7758,1.8309,1.0344,2.21,5.216,2.947,285.096424,-54.893192
206,6351,1.404,2.85759,2.85759,453,1.2678,2.9921,1.6904,2.799,6.605,3.732,312.45744,-24.428793
207,5943,1.061,1.25,1.25,339,0.8385,1.9789,1.118,2.474,5.838,3.298,5.618693,-59.942551
208,6050,1.87,4.16,4.16,872,1.5297,3.6101,2.0396,1.754,4.14,2.339,191.702789,-24.427364
209,5700,1.097,1.14,1.14,839,0.8008,1.8898,1.0677,0.954,2.252,1.273,346.075073,-21.271938
210,5659,1.022,0.96,0.96,255,0.7348,1.7342,0.9798,2.882,6.801,3.842,294.633636,-55.330105
211,5380,0.98,0.724,0.724,532,0.6382,1.5061,0.8509,1.2,2.831,1.599,0.774485,-62.469341
