loc_rowid,kepid,kepler_name,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_num_transits,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
4068,9896018,,CANDIDATE,0.98,0,0,0,0,3.59645081,3.64E-05,-3.64E-05,132.77209,7.61E-03,-7.61E-03,0.781,0.176,-0.545,2.661,0.213,-0.213,1.50E+02,1.11E+01,-1.11E+01,1.66,2.90E-01,-2.30E-01,83.31,,,1327,,,732.82,323.35,-221.37,16.2,335,5887,70,-79,1.235,0.213,-0.175,293.98871,46.718021,15.147
4069,5095082,,CANDIDATE,0.554,0,0,0,0,20.6579443,3.51E-04,-3.51E-04,145.6348,1.32E-02,-1.32E-02,0.188,0.269,-0.188,8.798,0.405,-0.405,9.82E+01,8.00E+00,-8.00E+00,1.27,2.30E-01,-2.90E-01,89.39,,,728,,,66.27,30.95,-29.23,14.1,66,5468,81,-65,1.306,0.23,-0.306,290.49988,40.287689,14.216
4076,2997459,,CANDIDATE,0.571,0,0,0,0,16.3368863,1.68E-04,-1.68E-04,132.20816,7.23E-03,-7.23E-03,0.066,0.376,-0.066,3.597,0.197,-0.197,2.26E+02,2.09E+01,-2.09E+01,1.27,3.40E-01,-1.90E-01,89.89,,,642,,,40.22,42.68,-18.18,12.1,81,5410,334,-371,0.859,0.235,-0.126,293.13098,38.159679,15.05
4077,8330207,,CANDIDATE,1,0,0,0,0,1.63668262,1.05E-05,-1.05E-05,131.64586,5.41E-03,-5.41E-03,1.22,7.189,-0.518,1.907,0.235,-0.235,9.22E+02,8.86E+01,-8.86E+01,103.99,3.64E+01,-4.85E+01,57.74,,,2562,,,10160.3,10682.43,-7631.1,12.9,164,5234,158,-174,3.739,1.307,-1.743,300.92484,44.24968,16.494
4078,5881813,,CANDIDATE,0.579,0,0,0,0,11.615625,1.53E-04,-1.53E-04,131.96843,8.23E-03,-8.23E-03,0.977,0.007,-0.705,2.233,0.362,-0.362,1.91E+02,2.80E+01,-2.80E+01,2.84,4.30E-01,-1.00E+00,85.11,,,905,,,158.69,65.4,-95.39,8.8,112,5332,88,-72,1.453,0.218,-0.51,293.52756,41.111439,15.162
4079,11560897,Kepler-430 c,CANDIDATE,0.947,0,0,0,0,110.978266,3.33E-03,-3.33E-03,147.0226,1.88E-02,-1.88E-02,0.074,0.382,-0.074,11.312,0.65,-0.65,1.50E+02,1.20E+01,-1.20E+01,1.86,3.10E-01,-3.80E-01,89.94,,,463,,,10.84,4.75,-4.34,14,13,5883,79,-79,1.529,0.256,-0.313,292.80865,49.579441,13.848
4081,6752002,,CANDIDATE,0.999,0,0,0,0,6.08003714,1.67E-05,-1.67E-05,136.88262,2.28E-03,-2.28E-03,0.254,0.196,-0.254,1.308,0.0835,-0.0835,1.84E+02,1.24E+01,-1.24E+01,1.07,9.00E-02,-1.20E-01,89.58,,,808,,,100.72,32.86,-29.28,17.7,219,4991,149,-134,0.804,0.069,-0.089,281.89813,42.28587,13.473
4082,7257966,,CANDIDATE,0.992,0,0,0,0,3.035206175,5.17E-06,-5.17E-06,132.3291,1.34E-03,-1.34E-03,0.965,0.006,-0.683,0.6182,0.0834,-0.0834,6.97E+02,4.39E+01,-4.39E+01,3.59,8.00E-01,-3.70E-01,86.14,,,1143,,,403.53,275.65,-115.9,19.1,438,5505,164,-164,0.873,0.195,-0.09,282.33563,42.84544,15.556
4085,9202434,,CANDIDATE,,0,0,0,0,173.2578372,8.17E-04,-8.17E-04,194.4584,3.92E-03,-3.92E-03,1.9038,0.0241,-0.7369,2.027,0.266,-0.266,6.87E+02,7.01E+01,-7.01E+01,117.29,7.27E+01,-1.32E+01,89.38,,,376,,,4.73,8.87,-1.51,13.5,8,6392,147,-228,1.162,0.72,-0.131,283.72552,45.676849,14.201
4087,10407482,Kepler-1577 b,CANDIDATE,0.974,0,0,0,0,6.30558387,6.54E-05,-6.54E-05,131.53058,9.39E-03,-9.39E-03,0.601,0.359,-0.383,2.619,0.276,-0.276,1.93E+02,2.42E+01,-2.42E+01,2.52,1.36E+00,-1.36E+00,87.71,,,1125,,,378.9,631.53,-306.81,9.5,185,4934,148,-133,1.756,0.947,-0.947,292.95526,47.573101,15.056
4089,7901016,,CANDIDATE,0.7,0,0,0,0,41.6757509,5.99E-04,-5.99E-04,169.791,1.17E-02,-1.17E-02,0.256,0.181,-0.256,10.848,0.336,-0.336,1.42E+02,7.10E+00,-7.10E+00,2.1,5.10E-01,-9.50E-01,89.49,,,690,,,53.72,38.64,-39.24,22.6,33,5745,156,-156,1.763,0.428,-0.796,295.1333,43.631432,13.34
4090,5385410,,CANDIDATE,0.91,0,0,0,0,11.49589567,7.25E-05,-7.25E-05,139.38053,5.63E-03,-5.63E-03,0.295,0.149,-0.295,2.256,0.155,-0.155,1.08E+02,9.50E+00,-9.50E+00,1.59,4.60E-01,-4.20E-01,89.55,,,1057,,,295.46,255.66,-156.16,13.2,118,6290,170,-208,1.506,0.444,-0.4,297.58194,40.5313,13.582
4092,7749002,,CANDIDATE,0.868,0,0,0,0,0.609926502,2.44E-06,-2.44E-06,131.80347,3.09E-03,-3.09E-03,0.24,0.218,-0.24,1.2529,0.0969,-0.0969,1.34E+02,1.05E+01,-1.05E+01,1.12,3.70E-01,-1.20E-01,86.28,,,2141,,,4990.14,4831.82,-1553.05,15.3,2128,5936,176,-211,0.965,0.312,-0.104,290.39172,43.440338,15.682
4094,5371777,Kepler-1589 b,CANDIDATE,0.992,0,0,0,0,0.991659646,7.95E-06,-7.95E-06,131.53686,4.87E-03,-4.87E-03,0.765,0.196,-0.531,2.215,0.183,-0.183,7.73E+01,6.80E+00,-6.80E+00,1.19,2.00E-01,-1.30E-01,71.48,,,2102,,,4614.18,1950.29,-1169.03,13.5,1078,6117,73,-92,1.244,0.205,-0.136,294.4418,40.571678,14.978
4095,3848083,,CANDIDATE,0.999,0,0,0,0,8.4795266,3.54E-04,-3.54E-04,138.1276,4.09E-02,-4.09E-02,0.136,0.325,-0.136,6.052,0.9,-0.9,1.63E+02,2.42E+01,-2.42E+01,1.18,3.30E-01,-1.10E-01,89.27,,,865,,,132.02,109.18,-39.3,8,135,5841,163,-225,0.931,0.26,-0.087,290.81589,38.970921,15.994
4096,6359926,,CANDIDATE,0.99,0,0,0,0,49.4746966,9.82E-04,-9.82E-04,166.142,1.71E-02,-1.71E-02,0.491,0.476,-0.278,10.46,0.525,-0.525,2.91E+02,1.92E+01,-1.92E+01,1.62,4.60E-01,-2.00E-01,89.12,,,498,,,14.5,12.16,-4.63,17.2,28,5952,161,-179,0.928,0.265,-0.114,290.39505,41.78157,14.955
4098,8324518,,CANDIDATE,0.936,0,0,0,0,1.62888267,9.38E-06,-9.38E-06,132.33899,3.92E-03,-3.92E-03,0.147,0.31,-0.147,1.72,0.124,-0.124,1.31E+02,1.22E+01,-1.22E+01,0.92,1.90E-01,-8.00E-02,88.84,,,1327,,,733.67,485.2,-187.7,12.5,826,5398,177,-160,0.811,0.169,-0.068,299.27658,44.291981,15.295
4100,3103473,,CANDIDATE,0.528,0,0,0,0,1.920062587,8.52E-06,-8.52E-06,131.72678,3.63E-03,-3.63E-03,0.387,0.057,-0.387,1.437,0.129,-0.129,2.27E+02,2.05E+01,-2.05E+01,1.12,1.60E-01,-9.00E-02,87.69,,,1189,,,471.84,217.13,-114.6,12.6,702,5266,158,-142,0.741,0.103,-0.06,287.84,38.255489,15.686
